source_dataset,source_sheet,alloy,material_class,condition,loading_protocol,overload_ratio,delta_k_mpa_sqrt_m,dadn_mm_per_cycle,hardness_hv,microstructure_family,grain_size_um,temperature_C,stress_ratio_R,data_type,log_delta_k,log_dadn,is_austenitic,is_measured,grain_size_um_filled,inv_sqrt_grain_size
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.72783,1.39968e-05,367.58,tempered_martensitic,,20,,measured,1.030511882792191,-4.853971242978476,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.74505,1.41124e-05,367.58,tempered_martensitic,,20,,measured,1.0312084407370548,-4.850399122452418,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.76244,1.42844e-05,367.58,tempered_martensitic,,20,,measured,1.0319107433010561,-4.845137996944639,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.7801,1.44377e-05,367.58,tempered_martensitic,,20,,measured,1.032622789537803,-4.840501986604836,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.79798,1.46135e-05,367.58,tempered_martensitic,,20,,measured,1.0333425187364755,-4.835245756095478,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.81613,1.48199e-05,367.58,tempered_martensitic,,20,,measured,1.0340718984517911,-4.829154726828668,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.83459,1.50284e-05,367.58,tempered_martensitic,,20,,measured,1.0348124814974053,-4.823087254154243,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.85335,1.52315e-05,367.58,tempered_martensitic,,20,,measured,1.0355638084111198,-4.817257325183671,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.87241,1.54312e-05,367.58,tempered_martensitic,,20,,measured,1.0363258213348308,-4.81160029991779,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.89177,1.56372e-05,367.58,tempered_martensitic,,20,,measured,1.037098461828275,-4.805841009167067,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.91145,1.58553e-05,367.58,tempered_martensitic,,20,,measured,1.0378824669178879,-4.799825536222073,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.95151,1.60491e-05,367.58,tempered_martensitic,,20,,measured,1.0394740040579296,-4.79454931690353,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.97187,1.61495e-05,367.58,tempered_martensitic,,20,,measured,1.0402806532327908,-4.791840919190614,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,10.99241,1.62423e-05,367.58,tempered_martensitic,,20,,measured,1.0410929185343292,-4.7893524722265095,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.01313,1.63341e-05,367.58,tempered_martensitic,,20,,measured,1.0419107657059363,-4.786904789918371,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.03403,1.6425e-05,367.58,tempered_martensitic,,20,,measured,1.042734160409898,-4.784494621768181,0,1,20.0,0.22360679774997896
Southampton D2015,Fig. 12 B,FV566 stainless steel,martensitic stainless steel,OLR_1.07,long_crack,1.07,11.0551,1.65226e-05,367.58,tempered_martensitic,,20,,measured,1.0435626753861724,-4.781921610962041,0,1,20.0,0.22360679774997896
